           PRO0 | 20-10-2021 |        PRO | uting SQL statements |jdbc
           PRO1 | 20-10-2021 |        PRO | method is used to wait for a client to initiate communications |accept()
           PRO2 | 20-10-2021 |        PRO | drivers that are written partly in the Java programming language and partly in native code. These drivers use a native client library specific to the data source to which they connect |type 2
           PRO3 | 20-10-2021 |        PRO | drivers that are pure Java and implement the network protocol for a specific data source. The client connects directly to the data source |type 4
           PRO4 | 20-10-2021 |        PRO | drivers that use a pure Java client and communicate with a middleware server using a database-independent protocol. The middleware server then communicates the client's requests to the data source |type 3
           PRO5 | 20-10-2021 |        PRO | drivers that implement the JDBC API as a mapping to another data access API, such as ODBC. Drivers of this type are generally dependent on a native library, which limits their portability |type 1
           PRO6 | 20-10-2021 |        PRO | System.out.println(a.doit(4, 5)) |line 26 prints a to system.out
           PRO7 | 20-10-2021 |        PRO | Which two are true if a NullPointerException is thrown on line 3 of class C |code on line 29, the exception
           PRO8 | 20-10-2021 |        PRO | What lines are output if the constructor at line 3 throws a MalformedURLException |bad url, doing finally, carrying
           PRO9 | 20-10-2021 |        PRO | What lines are output if the methods at lines 3 and 5 complete successfully without throwing any exceptions |success, doing, carrying
          PRO10 | 20-10-2021 |        PRO | If lines 24, 25 and 26 were removed, the code would compile and the output would be 1 |3.the code, would be 1, 2
          PRO11 | 20-10-2021 |        PRO | An exception is thrown at runtime |an exception
          PRO12 | 20-10-2021 |        PRO | first second first third snootchy 420 |third second first snootchy 420
          PRO13 | 20-10-2021 |        PRO | dialog prevents user input to other windows in the application unitl the dialog is closed |modal
          PRO14 | 20-10-2021 |        PRO | You would like to write code to read back the data from this file. Which solutions will work |2.fileinputstream, randomaccessfile
          PRO15 | 20-10-2021 |        PRO | A Java monitor must either extend Thread or implement Runnable |false
          PRO16 | 20-10-2021 |        PRO | A monitor called mon has 10 threads in its waiting pool; all these waiting threads have the same priority. One of the threads is thr1 |you cannot specify
          PRO17 | 20-10-2021 |        PRO | A programmer needs to create a logging method that can accept an arbitrary number of arguments. For example, it may be called in these ways |public void logit(string... msgs)
          PRO18 | 20-10-2021 |        PRO | A signed data type has an equal number of non-zero positive and negative values available |false
          PRO19 | 20-10-2021 |        PRO | A thread wants to make a second thread ineligible for execution. To do this, the first thread can call the yield() method on the second thread |false
          PRO20 | 20-10-2021 |        PRO | catch (InterruptedException e) |running some time
          PRO21 | 20-10-2021 |        PRO | object is used to submit a query to a database |statement
          PRO22 | 20-10-2021 |        PRO | object is uses to obtain a Connection to a Database |drivermanager
          PRO23 | 20-10-2021 |        PRO | After execution of the following code fragment, what are the values of the variables x, a, and b |x13, a7, b8
          PRO24 | 20-10-2021 |        PRO | Yen and Euro both return correct Country  value |2.euro returns, error at line 25
          PRO25 | 20-10-2021 |        PRO | BigOlLongStringWithMeaninglessName |tick all
          PRO26 | 20-10-2021 |        PRO | Compilation of class A will fail. Compilation of class B will succeed |b fail, a succeed
          PRO27 | 20-10-2021 |        PRO | Line 46 will compile if enclosed in a try block, where TestException is caught |2.if the enclosing, is caught
          PRO28 | 20-10-2021 |        PRO | Holder h = new Holder() |101
          PRO29 | 20-10-2021 |        PRO | Decrementer dec = new Decrementer() |12.3
          PRO30 | 20-10-2021 |        PRO | Test t = (new Base()).new Test(1) |2.new test(1), new test(1, 2)
          PRO31 | 20-10-2021 |        PRO | Base(int j, int k, int l) |2.base(), base(int j, int k)
          PRO32 | 20-10-2021 |        PRO | Line 12 will not compile, because no version of crunch() takes a char argument |output: int version
          PRO33 | 20-10-2021 |        PRO | output results when the main method of the class Sub is run |value 5 this value 6
          PRO34 | 20-10-2021 |        PRO | Float floater = new Float(3.14f) |line 6
          PRO35 | 20-10-2021 |        PRO | The application must be run with the -enableassertions flag or another assertionenabling flag |dai nhat, one or more
          PRO36 | 20-10-2021 |        PRO | After line 3 executes, the StringBuffer object is eligible for garbage collection |line 2 executes..collection
          PRO37 | 20-10-2021 |        PRO | The code will compile but will throw an exception at line 7, because runtime conversion from an interface to a class is not permitted |type swampthing
          PRO38 | 20-10-2021 |        PRO | The code will compile and run, but the cast in line 6 is not required and can be eliminated |the code will compile and run
          PRO39 | 20-10-2021 |        PRO | for (int i = 0; i < 2; i++) |4.i0,j12 - i1,j02
          PRO40 | 20-10-2021 |        PRO | outer: for (int i = 0; i < 2; i++) |i = 1 j = 0
          PRO41 | 20-10-2021 |        PRO | The code will compile but will throw an exception at line 7, because runtime conversion from an interface to a class is not permitted |line 7 will not compile
          PRO42 | 20-10-2021 |        PRO | int[] x = new int[25] |2.x[24]=0, x.length is 25
          PRO43 | 20-10-2021 |        PRO | public float aMethod(float a, float b) throws Exception |int a,b float p,q
          PRO44 | 20-10-2021 |        PRO | public float aMethod(float a, float b, int c) throws Exception |3.int a,b. float a,b-int c. private
          PRO45 | 20-10-2021 |        PRO | Given a string constructed by calling s = new String("xyzzy"), which of the calls modifies the string |none of the above
          PRO46 | 20-10-2021 |        PRO | Given arrays a1 and a2, which call returns true if a1 and a2 have the same length, and a1[i].equals(a2[i]) for every legal index i |arrays.equals(a1, a2)
          PRO47 | 20-10-2021 |        PRO | Assuming the class does not perform custom serialization, which fields are written when an instance of Xyz is serialized |3.public, private, volatile
          PRO48 | 20-10-2021 |        PRO | can legally be placed before aMethod() on line 3 and be placed before aMethod() on line 8 |3: private; 8: protected
          PRO49 | 20-10-2021 |        PRO | NUTMEG, CINNAMON, CORIANDER, ROSEMARY |3.spice sp, spice, string
          PRO50 | 20-10-2021 |        PRO | List<String> names = new ArrayList<String>() |2.iterator, for
          PRO51 | 20-10-2021 |        PRO | Compilation fails because of an error in line 15 |error in line 19
          PRO52 | 20-10-2021 |        PRO |      1 2 3 |2 3
          PRO53 | 20-10-2021 |        PRO | public interface B inheritsFrom A |b extends a
          PRO54 | 20-10-2021 |        PRO | protected double getSalesAmount() { return 1230.45; } |2.public, protected
          PRO55 | 20-10-2021 |        PRO | Line 16 creates a directory named “d” and a file ‘f’ within it in the file system |3.an exception, line 13, line 14
          PRO56 | 20-10-2021 |        PRO | Nav.Direction d = Nav.Direction.NORTH |nav.direction.north
          PRO57 | 20-10-2021 |        PRO | new class Foo { public int bar() { return 1; } } |new foo()
          PRO58 | 20-10-2021 |        PRO | IllegalArgumentException |stackoverflowerror
          PRO59 | 20-10-2021 |        PRO | Circle c = new Circle(); c.Shape.setAnchor(10,10); c.Shape.draw() |shape s = new circle...s.draw()
          PRO60 | 20-10-2021 |        PRO | Compilation fails because of an error in line 12 |1 2 3
          PRO61 | 20-10-2021 |        PRO | NullPointerException |compilation fails
          PRO62 | 20-10-2021 |        PRO | A NumberFormatException is thrown by the parse method at runtime |compilation fails
          PRO63 | 20-10-2021 |        PRO | An exception is thrown at runtime |compilation fails
          PRO64 | 20-10-2021 |        PRO | passed An AssertionException is thrown without the word “stuff” added to the stack trace |an assertionerror...with the
          PRO65 | 20-10-2021 |        PRO |     collie |collie harrier
          PRO66 | 20-10-2021 |        PRO | doStuff x = 6 main x = 6 |dostuff x =5 main x =5
          PRO67 | 20-10-2021 |        PRO | The setCardlnformation method breaks encapsulation |the ownername
          PRO68 | 20-10-2021 |        PRO | The value of all four objects prints in natural order |compilation fails...line 29
          PRO69 | 20-10-2021 |        PRO | The code on line 33 executes successfully |3.33 throws, 35 throws, 33 executes
          PRO70 | 20-10-2021 |        PRO | What is the result if a NullPointerException occurs on line 34 |ac
          PRO71 | 20-10-2021 |        PRO | Compilation will fail because of an error in line 55 |line 57...value 3
          PRO72 | 20-10-2021 |        PRO | java -ea test file1 file2 |2.java -ea test, dai nhat
          PRO73 | 20-10-2021 |        PRO | String s = “123456789”; s = (s-”123”).replace(1,3,”24”) - “89” |2.delete(4,6), delete(2,5).insert( 1, “24”)
          PRO74 | 20-10-2021 |        PRO | The Point class cannot be instatiated at line 15 |line.point p = new line.point()
          PRO75 | 20-10-2021 |        PRO | for( int i=0; i< x.length; i++ )   System.out.println(x[i]) |2.for(int z : x), dai nhat
          PRO76 | 20-10-2021 |        PRO | int MY_VALUE = 10 |3.final, static, public
          PRO77 | 20-10-2021 |        PRO | Compilation fails because of an error in line: public void process() throws RuntimeException |a exception
          PRO78 | 20-10-2021 |        PRO | How can you ensure that multithreaded code does not deadlock |there is no single
          PRO79 | 20-10-2021 |        PRO | How can you force garbage collection of an object |garbage collection
          PRO80 | 20-10-2021 |        PRO | How do you prevent shared data from being corrupted in a multithreaded environment |access the variables
          PRO81 | 20-10-2021 |        PRO | How do you use the File class to list the contents of a directory |string[] contents
          PRO82 | 20-10-2021 |        PRO | The number of bytes depends on the underlying system |8
          PRO83 | 20-10-2021 |        PRO | How many locks does an object have |one
          PRO84 | 20-10-2021 |        PRO | If all three top-level elements occur in a source file, they must appear in which order |package declaration, imports
          PRO85 | 20-10-2021 |        PRO | the two classes are in different packages, and class X has a protected method called abby(), then any instance of Y may call the abby() method of any |false
          PRO86 | 20-10-2021 |        PRO | TestThread3 ttt = new TestThread3 |y
          PRO87 | 20-10-2021 |        PRO | If you need a Set implementation that provides value-ordered iteration, which class should you use |treeset
          PRO88 | 20-10-2021 |        PRO | In order for objects in a List to be sorted, those objects must implement which interface and method |comparable...compareto
          PRO89 | 20-10-2021 |        PRO | after execution of line 1, sbuf references an instance of the StringBuffer class. After execution of line 2, sbuf still references the same instance |true
          PRO90 | 20-10-2021 |        PRO | what are the possible types for variable result |int, long, float, double
          PRO91 | 20-10-2021 |        PRO | helps manage the connection between a Java program and a database |connection
          PRO92 | 20-10-2021 |        PRO | Is it possible to define a class called Thing so that the following method can return true under certain circumstances |y
          PRO93 | 20-10-2021 |        PRO | Is it possible to write code that can execute only if the current thread owns multiple locks |y
          PRO94 | 20-10-2021 |        PRO | JDBC supports ______ and ______ models |two-tier and three-tier
          PRO95 | 20-10-2021 |        PRO | MVC is short call of |model-view-controller
          PRO96 | 20-10-2021 |        PRO | No output because of compile error at line: System.out.println("b="+b) |b = b * b1
          PRO97 | 20-10-2021 |        PRO | Object ob2= new Object() |have a nice day
          PRO98 | 20-10-2021 |        PRO | Object ob2= ob1 |ob1 equals ob2, ob1==ob2
          PRO99 | 20-10-2021 |        PRO | String s2 = "xyz" |line 4, line 6
         PRO100 | 20-10-2021 |        PRO | String s2 = new String("xyz") |line 6
         PRO101 | 20-10-2021 |        PRO | String s2 = new String(s1) |line 6
         PRO102 | 20-10-2021 |        PRO | Select correct statement about RMI |all the above
         PRO103 | 20-10-2021 |        PRO | Select correct statement(s) about remote class |all the others choices
         PRO104 | 20-10-2021 |        PRO | Select correct statements about remote interface |all the others choices
         PRO105 | 20-10-2021 |        PRO | Select INCORRECT statement about  serialization |when an object output
         PRO106 | 20-10-2021 |        PRO | Select INCORRECT statement about deserialize |we use readobject
         PRO107 | 20-10-2021 |        PRO | Select incorrect statement about RMI server |a client accesses
         PRO108 | 20-10-2021 |        PRO | Select incorrect statement about ServerSocket class |to make the new object
         PRO109 | 20-10-2021 |        PRO | Select incorrect statement about Socket class |server through udp
         PRO110 | 20-10-2021 |        PRO | Select the correct statement about JDBC two-tier processing model |a user's commands
         PRO111 | 20-10-2021 |        PRO | SQL keyword ___ is followed by the selection criteria that specify the rows to select in a query |where
         PRO112 | 20-10-2021 |        PRO | Statement objects return SQL query results as |resultset
         PRO113 | 20-10-2021 |        PRO | When a JDBC connection is created, it is in auto-commit mode |both 1 and 2 are true
         PRO114 | 20-10-2021 |        PRO | Suppose a method called finallyTest() consists of a try block, followed by a catch block, followed by a finally block |if the jvm doesn't crash
         PRO115 | 20-10-2021 |        PRO | Suppose a source file contains a large number of import statements and one class definition. How do the imports affect the time required to load the class |no additional time
         PRO116 | 20-10-2021 |        PRO | Suppose a source file contains a large number of import statements. How do the imports affect the time required to compile the source file |slightly more time
         PRO117 | 20-10-2021 |        PRO | Suppose class A extends Object; Class B extends A; and class C extends B. Of these, only class C implements java.io.Externalizable |c must have a
         PRO118 | 20-10-2021 |        PRO | Suppose class A extends Object; class B extends A; and class C extends B. Of these, only class C implements java.io.Serializable |b must have a
         PRO119 | 20-10-2021 |        PRO | Suppose class A has a method called doSomething(), with default access. Suppose class B extends A and overrides doSomething() |private
         PRO120 | 20-10-2021 |        PRO | Suppose class Supe, in package packagea, has a method called doSomething(). Suppose class Subby, in package packageb, overrides doSomething() |2.public, protected
         PRO121 | 20-10-2021 |        PRO | void doSomething(int a, float b) |public...(int a, float b)
         PRO122 | 20-10-2021 |        PRO | Suppose interface Inty defines five methods. Suppose class Classy declares that it implements Inty but does not provide implementations for any of the five interface methods |2.declared abstract, may not be
         PRO123 | 20-10-2021 |        PRO | Suppose prim is an int and wrapped is an Integer. Which of the following are legal Java statements |all the above
         PRO124 | 20-10-2021 |        PRO | Suppose salaries is an array containing floats. Which of the following are valid loop control statements for processing each element of salaries |for (float f:salaries)
         PRO125 | 20-10-2021 |        PRO | Suppose the declared type of x is a class, and the declared type of y is an interface. When is the assignment x = y; legal |when the...x is object
         PRO126 | 20-10-2021 |        PRO | Suppose the type of xarr is an array of XXX, and the type of yarr is an array of YYY. When is the assignment xarr = yarr; legal |sometimes
         PRO127 | 20-10-2021 |        PRO | Suppose x and y are of type TrafficLightState, which is an enum. What is the best way to test whether x and y refer to the same constant |if (x == y)
         PRO128 | 20-10-2021 |        PRO | Suppose you are writing a class that will provide custom deserialization. What access mode should the readObject() method have |private
         PRO129 | 20-10-2021 |        PRO | Suppose you are writing a class that will provide custom serialization. What access mode should the writeObject() method have |private
         PRO130 | 20-10-2021 |        PRO | Suppose you want to create a custom thread class by extending java.lang.Thread in order to provide some special functionality |override run()
         PRO131 | 20-10-2021 |        PRO | Suppose you want to write a class that offers static methods to compute hyperbolic trigonometric functions. You decide to subclass java.lang.Math and provide the new functionality as a set of static methods |subclass java.lang.math
         PRO132 | 20-10-2021 |        PRO | Swing components cannot be combined with AWT components |true
         PRO133 | 20-10-2021 |        PRO | class is the primary class that has the driver information |drivermanager
         PRO134 | 20-10-2021 |        PRO | class is used to implement a pull-down menu that provides a number of items to select from |menu
         PRO135 | 20-10-2021 |        PRO | The element method alters the contents of a Queue |false
         PRO136 | 20-10-2021 |        PRO | The Swing component classes can be found in the |javax.swing
         PRO137 | 20-10-2021 |        PRO | There are two classes in Java to enable communication using datagrams namely |datapacket and datasocket
         PRO138 | 20-10-2021 |        PRO | Compilation of Parrot.java fails at line 7 because method getRefCount() is static in the superclass, and static methods may not be overridden to be nonstatic |dai nhat: nonstatic
         PRO139 | 20-10-2021 |        PRO | Compilation of Nightingale will succeed, but an exception will be thrown at line 10, because method fly() is protected in the superclass |the program...after: 2
         PRO140 | 20-10-2021 |        PRO | void doSomething() throws IOException, EOFException |ngan-dai nhat, throws eofexception
         PRO141 | 20-10-2021 |        PRO | URL referring to databases use the form |protocol:subprotocol:datasoursename
         PRO142 | 20-10-2021 |        PRO | What are the legal types for whatsMyType |there are no possible legal types
         PRO143 | 20-10-2021 |        PRO | What does the following code do |throws an exception
         PRO144 | 20-10-2021 |        PRO | There is no output because the code throws an exception at line 1 |output is i = 20
         PRO145 | 20-10-2021 |        PRO |       1000 |-1
         PRO146 | 20-10-2021 |        PRO | What happens when you try to compile and run the following application |thrown at line 9
         PRO147 | 20-10-2021 |        PRO | The code compiles, and prints out >>null<< |out >>null<<
         PRO148 | 20-10-2021 |        PRO | An exception is thrown at line 6 |thrown at line 7
         PRO149 | 20-10-2021 |        PRO | What is -50 >> 2 |-13
         PRO150 | 20-10-2021 |        PRO | What is 7 % -4 |3
         PRO151 | 20-10-2021 |        PRO | What is -8 % 5 |-3
         PRO152 | 20-10-2021 |        PRO | What is the difference between the rules for method-call conversion and the rules for assignment conversion |there is no difference
         PRO153 | 20-10-2021 |        PRO | The code will compile as is. No modification is needed |on line 1, remove
         PRO154 | 20-10-2021 |        PRO | What is the range of values that can be assigned to a variable of type byte |?2mu7 through 2mu7 ? 1
         PRO155 | 20-10-2021 |        PRO | What is the range of values that can be assigned to a variable of type short |?2mu15 through
         PRO156 | 20-10-2021 |        PRO | The code compiles and executes; afterward, the current working directory contains a file called datafile |the code fails to compile
         PRO157 | 20-10-2021 |        PRO | What is the return type of the instanceof operator |a boolean
         PRO158 | 20-10-2021 |        PRO | What method of the java.io.File class can create a file on the hard drive |createnewfile()
         PRO159 | 20-10-2021 |        PRO | The output: value is 99.99 |value is 9.0
         PRO160 | 20-10-2021 |        PRO | The output: b contains 250 |b contains 5
         PRO161 | 20-10-2021 |        PRO | What would be the output from this code fragment |message four
         PRO162 | 20-10-2021 |        PRO | When a byte is added to a char, what is the type of the result |int
         PRO163 | 20-10-2021 |        PRO | When a negative byte is cast to a long, what are the possible values of the result |negative
         PRO164 | 20-10-2021 |        PRO | When a negative long is cast to a byte, what are the possible values of the result |all the above
         PRO165 | 20-10-2021 |        PRO | When a short is added to a float, what is the type of the result |float
